user,dayofweek,hour,age,numscreens,minigame,used_premium_feature,enrolled,liked,SavingCount,CMCount,CCCount,LoansCount,Other
235136,3,2,23,15,0,0,0,0,0,0,0,2,12
333588,6,1,24,13,0,0,0,0,0,0,0,2,10
254414,1,19,23,3,0,1,0,1,0,0,0,1,2
234192,4,16,28,40,0,0,1,0,0,3,0,2,13
51549,1,18,31,32,0,0,1,1,0,3,0,2,16
56480,2,9,20,14,0,0,1,0,0,3,0,2,10
144649,1,2,35,3,0,0,0,0,0,0,0,0,3
249366,1,3,26,41,0,1,0,0,0,3,0,2,14
372004,2,14,29,33,1,1,0,0,0,0,0,3,25
338013,4,18,26,19,0,0,1,0,0,0,0,2,16
43555,1,4,39,14,0,0,1,0,0,0,0,2,8
317454,1,11,32,25,1,1,0,0,0,3,2,2,12
205375,0,6,25,11,0,0,0,0,0,0,0,0,9
307608,5,19,23,4,0,0,0,0,0,2,0,0,3
359855,0,4,17,9,0,0,0,0,0,0,0,0,5
284938,5,18,25,26,1,0,0,0,0,0,0,2,14
235143,6,16,21,6,0,0,1,0,0,0,0,0,6
141402,5,21,55,20,0,0,0,0,0,0,0,2,13
257945,4,5,32,15,0,0,1,1,0,0,0,2,12
54931,5,17,25,5,0,0,1,0,0,0,0,2,4
165432,4,9,28,8,0,1,1,0,0,0,0,2,6
236951,5,4,38,42,0,1,0,0,0,4,3,2,15
110461,5,17,31,9,1,0,1,0,0,2,0,0,6
200187,6,2,27,42,0,0,1,1,0,4,0,2,22
180427,6,20,48,1,1,0,1,0,0,0,0,0,1
359383,6,18,37,38,0,0,1,0,0,2,0,2,11
9810,0,16,22,49,1,0,1,0,0,0,0,2,21
85089,2,1,35,35,0,0,0,0,2,3,2,2,17
143818,1,11,32,19,0,1,1,0,0,3,0,2,12
210060,5,17,20,10,0,0,0,0,0,0,0,2,9
317171,5,0,23,52,0,0,1,0,0,2,0,2,21
198725,2,2,25,50,0,0,1,1,0,5,0,2,18
95362,6,20,23,76,0,0,1,0,8,2,2,2,28
84738,0,4,31,37,0,0,1,0,0,5,0,2,11
74128,0,18,26,16,1,0,1,0,0,0,0,2,13
15995,3,21,21,32,0,0,1,0,0,1,2,2,19
310250,5,22,36,47,0,0,0,0,0,4,0,2,14
133014,3,16,24,16,0,0,1,0,0,5,0,2,8
280456,6,22,25,40,0,0,1,0,0,5,0,2,20
133810,0,10,23,33,0,0,1,0,0,3,0,2,16
171351,1,6,25,90,0,0,1,0,8,4,0,2,25
342983,1,8,23,13,0,1,0,0,0,1,0,2,7
62638,1,8,25,24,0,0,0,0,5,5,0,0,10
341292,0,0,25,45,0,1,1,1,0,3,0,2,24
349927,2,15,21,20,0,0,1,1,0,0,0,2,12
67588,1,2,30,31,0,0,0,0,0,1,0,2,17
187179,4,14,58,45,0,0,0,0,0,0,0,0,18
315393,5,0,26,24,0,0,1,0,0,3,0,2,18
23425,4,13,40,16,0,0,1,0,8,2,0,0,7
298577,4,20,24,39,0,1,0,0,0,2,0,2,16
357863,5,8,26,17,0,0,0,0,0,0,0,2,9
21700,2,4,33,28,0,1,1,1,0,0,0,0,20
17739,1,19,21,27,0,0,1,0,0,5,0,0,13
246710,0,2,21,10,0,0,0,0,0,0,0,0,10
69760,4,3,57,11,0,0,1,0,0,0,0,0,11
335625,1,4,22,19,0,0,0,0,0,0,0,0,13
91566,0,15,23,39,0,0,0,0,0,2,0,2,13
34071,3,19,20,57,0,0,1,0,0,2,0,2,17
44814,1,2,31,27,0,0,0,0,0,5,0,2,12
117488,0,20,24,23,0,0,0,1,0,0,0,2,7
138117,5,22,27,4,0,0,1,0,0,0,0,0,4
150614,0,22,33,21,0,0,1,0,0,0,0,2,17
366999,4,17,48,12,1,0,0,0,0,4,0,0,6
248925,6,17,32,38,0,0,1,0,0,2,0,2,19
20747,6,23,31,17,0,0,0,0,0,0,0,2,11
354498,6,19,24,16,1,1,0,0,0,0,0,0,16
305707,2,13,19,7,0,0,0,0,0,0,0,0,7
43620,4,5,37,41,0,0,1,0,0,2,0,2,10
199975,6,10,37,13,0,0,1,0,0,0,0,0,9
185092,4,6,45,39,0,0,1,1,8,4,0,2,20
177834,6,23,34,7,0,0,0,0,0,0,0,0,5
235616,4,12,38,14,0,0,0,1,0,0,0,2,12
350654,1,21,46,18,0,0,1,1,0,0,0,2,12
149499,0,1,22,8,0,0,0,0,0,0,0,2,6
277249,2,19,19,27,0,0,1,0,0,0,0,2,13
58451,4,7,28,52,0,0,1,1,0,0,3,2,16
163715,6,14,35,48,1,0,1,0,0,2,0,2,26
274093,6,16,28,32,0,0,0,0,0,1,0,2,13
139567,3,3,22,11,0,0,0,0,0,0,0,2,6
137484,6,2,21,16,0,0,1,0,0,0,0,0,16
39677,0,19,25,28,0,0,1,0,0,5,0,2,14
277960,1,3,23,29,0,0,1,0,0,4,0,2,13
351023,5,20,32,24,0,0,1,0,6,4,0,0,12
123984,4,2,34,21,0,0,1,0,0,0,0,2,16
184032,6,6,24,136,1,0,1,0,8,3,0,2,38
329480,2,19,25,10,0,0,0,0,0,0,0,2,7
60702,0,5,31,41,0,0,0,0,0,2,0,2,17
125898,2,16,27,28,0,1,1,0,0,0,0,2,18
306457,6,23,17,5,0,0,0,1,0,0,0,0,5
143018,1,16,35,13,0,0,1,0,0,0,0,0,11
40978,5,15,26,11,0,0,0,1,0,2,0,2,6
232734,6,8,27,8,0,1,0,1,0,0,0,2,6
